2026-00001,Dela Cruz,Juan,1BSCS-1
2025-00002,Santos,Maria,2BSCS-1
2025-00003,Reyes,Pedro,2BSCS-2
2024-00004,Mendoza,Sofia,3BSCS-1
2023-00005,Navarro,Miguel,4BSCS-1
2026-00006,Villanueva,Camille,1BSIT-1
2025-00007,Castillo,Bianca,2BSIT-1
2025-00008,Bautista,Andre,2BSIT-2
2024-00009,Dela Cruz,Juan A.,3BSIT-1
2023-00010,Santos,Maria A.,4BSIT-1
2026-00011,Reyes,Pedro A.,1BSIS-1
2025-00012,Mendoza,Sofia A.,2BSIS-1
2025-00013,Navarro,Miguel A.,2BSIS-2
2024-00014,Villanueva,Camille A.,3BSIS-1
2023-00015,Castillo,Bianca A.,4BSIS-1
2026-00016,Ramos,Leah,1BSCS-1,1BSIT-1
2025-00017,Torres,Marco,2BSCS-1,2BSIT-1
2024-00018,Lim,Iris,2BSCS-2,2BSIT-2
2026-00019,Gonzales,Noel,3BSCS-1,3BSIT-1
2026-00020,Abad,Aaron,1BSCS-1,1BSIT-1
2025-00021,Alcantara,Aaron,2BSCS-1
2025-00022,Andres,Aaron,2BSCS-2
2024-00023,Balagtas,Aaron,3BSCS-1
2023-00024,Cabral,Aaron,4BSCS-1
2026-00025,David,Aaron,1BSIT-1
2025-00026,Escobar,Aaron,2BSIT-1
2025-00027,Francisco,Aaron,2BSIT-2
2024-00028,Galang,Aaron,3BSIT-1
2023-00029,Herrera,Aaron,4BSIT-1
2026-00030,Ignacio,Aaron,1BSIS-1,1BSCS-1
2025-00031,Javier,Aaron,2BSIS-1
2025-00032,Katigbak,Aaron,2BSIS-2
2024-00033,Lacsamana,Aaron,3BSIS-1
2023-00034,Macapagal,Aaron,4BSIS-1
2026-00035,Natividad,Aaron,1BSCS-1
2025-00036,Ortega,Aaron,2BSCS-1
2025-00037,Quintos,Aaron,2BSCS-2
2024-00038,Rivera,Aaron,3BSCS-1
2023-00039,Samson,Aaron,4BSCS-1
2026-00040,Tolentino,Aaron,1BSIT-1,1BSCS-1
2025-00041,Uy,Aaron,2BSIT-1
2025-00042,Vergara,Aaron,2BSIT-2
2024-00043,Yap,Aaron,3BSIT-1
2023-00044,Abad,Abigail,4BSIT-1
2026-00045,Alcantara,Abigail,1BSIS-1
2025-00046,Andres,Abigail,2BSIS-1
2025-00047,Balagtas,Abigail,2BSIS-2
2024-00048,Cabral,Abigail,3BSIS-1
2023-00049,David,Abigail,4BSIS-1
2026-00050,Escobar,Abigail,1BSCS-1,1BSIT-1
2025-00051,Francisco,Abigail,2BSCS-1
2025-00052,Galang,Abigail,2BSCS-2
2024-00053,Herrera,Abigail,3BSCS-1
2023-00054,Ignacio,Abigail,4BSCS-1
2026-00055,Javier,Abigail,1BSIT-1
2025-00056,Katigbak,Abigail,2BSIT-1
2025-00057,Lacsamana,Abigail,2BSIT-2
2024-00058,Macapagal,Abigail,3BSIT-1
2023-00059,Natividad,Abigail,4BSIT-1
2026-00060,Ortega,Abigail,1BSIS-1,1BSCS-1
2025-00061,Quintos,Abigail,2BSIS-1
2025-00062,Rivera,Abigail,2BSIS-2
2024-00063,Samson,Abigail,3BSIS-1
2023-00064,Tolentino,Abigail,4BSIS-1
2026-00065,Uy,Abigail,1BSCS-1
2025-00066,Vergara,Abigail,2BSCS-1
2025-00067,Yap,Abigail,2BSCS-2
2024-00068,Abad,Adrian,3BSCS-1
2023-00069,Alcantara,Adrian,4BSCS-1
2026-00070,Andres,Adrian,1BSIT-1,1BSCS-1
2025-00071,Balagtas,Adrian,2BSIT-1
2025-00072,Cabral,Adrian,2BSIT-2
2024-00073,David,Adrian,3BSIT-1
2023-00074,Escobar,Adrian,4BSIT-1
2026-00075,Francisco,Adrian,1BSIS-1
2025-00076,Galang,Adrian,2BSIS-1
2025-00077,Herrera,Adrian,2BSIS-2
2024-00078,Ignacio,Adrian,3BSIS-1
2023-00079,Javier,Adrian,4BSIS-1
2026-00080,Katigbak,Adrian,1BSCS-1,1BSIT-1
2025-00081,Lacsamana,Adrian,2BSCS-1
2025-00082,Macapagal,Adrian,2BSCS-2
2024-00083,Natividad,Adrian,3BSCS-1
2023-00084,Ortega,Adrian,4BSCS-1
2026-00085,Quintos,Adrian,1BSIT-1
2025-00086,Rivera,Adrian,2BSIT-1
2025-00087,Samson,Adrian,2BSIT-2
2024-00088,Tolentino,Adrian,3BSIT-1
2023-00089,Uy,Adrian,4BSIT-1
2026-00090,Vergara,Adrian,1BSIS-1,1BSCS-1
2025-00091,Yap,Adrian,2BSIS-1
2025-00092,Abad,Alexa,2BSIS-2
2024-00093,Alcantara,Alexa,3BSIS-1
2023-00094,Andres,Alexa,4BSIS-1
2026-00095,Balagtas,Alexa,1BSCS-1
2025-00096,Cabral,Alexa,2BSCS-1
2025-00097,David,Alexa,2BSCS-2
2024-00098,Escobar,Alexa,3BSCS-1
2023-00099,Francisco,Alexa,4BSCS-1
2026-00100,Galang,Alexa,1BSIT-1,1BSCS-1
2025-00101,Herrera,Alexa,2BSIT-1
2025-00102,Ignacio,Alexa,2BSIT-2
2024-00103,Javier,Alexa,3BSIT-1
2023-00104,Katigbak,Alexa,4BSIT-1
2026-00105,Lacsamana,Alexa,1BSIS-1
2025-00106,Macapagal,Alexa,2BSIS-1
2025-00107,Natividad,Alexa,2BSIS-2
2024-00108,Ortega,Alexa,3BSIS-1
2023-00109,Quintos,Alexa,4BSIS-1
2026-00110,Rivera,Alexa,1BSCS-1,1BSIT-1
2025-00111,Samson,Alexa,2BSCS-1
2025-00112,Tolentino,Alexa,2BSCS-2
2024-00113,Uy,Alexa,3BSCS-1
2023-00114,Vergara,Alexa,4BSCS-1
2026-00115,Yap,Alexa,1BSIT-1
2025-00116,Abad,Brandon,2BSIT-1
2025-00117,Alcantara,Brandon,2BSIT-2
2024-00118,Andres,Brandon,3BSIT-1
2023-00119,Balagtas,Brandon,4BSIT-1
2026-00120,Cabral,Brandon,1BSIS-1,1BSCS-1
2025-00121,David,Brandon,2BSIS-1
2025-00122,Escobar,Brandon,2BSIS-2
2024-00123,Francisco,Brandon,3BSIS-1
2023-00124,Galang,Brandon,4BSIS-1
2026-00125,Herrera,Brandon,1BSCS-1
2025-00126,Ignacio,Brandon,2BSCS-1
2025-00127,Javier,Brandon,2BSCS-2
2024-00128,Katigbak,Brandon,3BSCS-1
2023-00129,Lacsamana,Brandon,4BSCS-1
2026-00130,Macapagal,Brandon,1BSIT-1,1BSCS-1
2025-00131,Natividad,Brandon,2BSIT-1
2025-00132,Ortega,Brandon,2BSIT-2
2024-00133,Quintos,Brandon,3BSIT-1
2023-00134,Rivera,Brandon,4BSIT-1
2026-00135,Samson,Brandon,1BSIS-1
2025-00136,Tolentino,Brandon,2BSIS-1
2025-00137,Uy,Brandon,2BSIS-2
2024-00138,Vergara,Brandon,3BSIS-1
2023-00139,Yap,Brandon,4BSIS-1
2026-00140,Abad,Chloe,1BSCS-1,1BSIT-1
2025-00141,Alcantara,Chloe,2BSCS-1
2025-00142,Andres,Chloe,2BSCS-2
2024-00143,Balagtas,Chloe,3BSCS-1
2023-00144,Cabral,Chloe,4BSCS-1
2026-00145,David,Chloe,1BSIT-1
2025-00146,Escobar,Chloe,2BSIT-1
2025-00147,Francisco,Chloe,2BSIT-2
2024-00148,Galang,Chloe,3BSIT-1
2023-00149,Herrera,Chloe,4BSIT-1
2026-00150,Ignacio,Chloe,1BSIS-1,1BSCS-1
2025-00151,Javier,Chloe,2BSIS-1
2025-00152,Katigbak,Chloe,2BSIS-2
2024-00153,Lacsamana,Chloe,3BSIS-1
2023-00154,Macapagal,Chloe,4BSIS-1
2026-00155,Natividad,Chloe,1BSCS-1
2025-00156,Ortega,Chloe,2BSCS-1
2025-00157,Quintos,Chloe,2BSCS-2
2024-00158,Rivera,Chloe,3BSCS-1
2023-00159,Samson,Chloe,4BSCS-1
2026-00160,Tolentino,Chloe,1BSIT-1,1BSCS-1
2025-00161,Uy,Chloe,2BSIT-1
2025-00162,Vergara,Chloe,2BSIT-2
2024-00163,Yap,Chloe,3BSIT-1
2023-00164,Abad,Christian,4BSIT-1
2026-00165,Alcantara,Christian,1BSIS-1
2025-00166,Andres,Christian,2BSIS-1
2025-00167,Balagtas,Christian,2BSIS-2
2024-00168,Cabral,Christian,3BSIS-1
2023-00169,David,Christian,4BSIS-1
2026-00170,Escobar,Christian,1BSCS-1,1BSIT-1
2025-00171,Francisco,Christian,2BSCS-1
2025-00172,Galang,Christian,2BSCS-2
2024-00173,Herrera,Christian,3BSCS-1
2023-00174,Ignacio,Christian,4BSCS-1
2026-00175,Javier,Christian,1BSIT-1
2025-00176,Katigbak,Christian,2BSIT-1
2025-00177,Lacsamana,Christian,2BSIT-2
2024-00178,Macapagal,Christian,3BSIT-1
2023-00179,Natividad,Christian,4BSIT-1
2026-00180,Ortega,Christian,1BSIS-1,1BSCS-1
2025-00181,Quintos,Christian,2BSIS-1
2025-00182,Rivera,Christian,2BSIS-2
2024-00183,Samson,Christian,3BSIS-1
2023-00184,Tolentino,Christian,4BSIS-1
2026-00185,Uy,Christian,1BSCS-1
2025-00186,Vergara,Christian,2BSCS-1
2025-00187,Yap,Christian,2BSCS-2
2024-00188,Abad,Denise,3BSCS-1
2023-00189,Alcantara,Denise,4BSCS-1
2026-00190,Andres,Denise,1BSIT-1,1BSCS-1
2025-00191,Balagtas,Denise,2BSIT-1
2025-00192,Cabral,Denise,2BSIT-2
